Vertice,Pai,Nivel
1541,-1,-1
1542,-1,-1
1543,-1,-1
1544,120343,11
1545,65791,13
1546,95325,12
1547,-1,-1
1548,-1,-1
1549,-1,-1
1550,-1,-1
1551,245345,11
1552,-1,-1
1553,-1,-1
1554,-1,-1
1555,-1,-1
1556,318770,13
1557,-1,-1
1558,-1,-1
1559,-1,-1
1560,-1,-1
1561,-1,-1
1562,-1,-1
1563,-1,-1
1564,-1,-1
1565,-1,-1
1566,-1,-1
1567,83620,13
1568,237702,14
1569,-1,-1
1570,-1,-1
1571,-1,-1
1572,-1,-1
1573,-1,-1
1574,271153,12
1575,-1,-1
1576,-1,-1
1577,156693,12
1578,351882,8
1579,-1,-1
1580,-1,-1
1581,-1,-1
1582,-1,-1
1583,-1,-1
1584,151535,11
1585,71332,13
1586,-1,-1
1587,-1,-1
1588,188606,14
1589,-1,-1
1590,-1,-1
1591,-1,-1
1592,-1,-1
1593,-1,-1
1594,-1,-1
1595,-1,-1
1596,-1,-1
1597,-1,-1
1598,7043,13
1599,-1,-1
1600,-1,-1
1601,-1,-1
1602,-1,-1
1603,-1,-1
1604,-1,-1
1605,-1,-1
1606,-1,-1
1607,352953,12
1608,48406,12
1609,-1,-1
1610,-1,-1
1611,-1,-1
1612,-1,-1
1613,-1,-1
1614,-1,-1
1615,216206,12
1616,-1,-1
1617,-1,-1
1618,106409,14
1619,-1,-1
1620,-1,-1
1621,-1,-1
1622,-1,-1
1623,-1,-1
1624,-1,-1
1625,309872,14
1626,312599,12
1627,-1,-1
1628,-1,-1
1629,-1,-1
1630,107962,11
1631,194763,12
1632,-1,-1
1633,-1,-1
1634,289003,12
1635,115092,12
1636,-1,-1
1637,10422,13
1638,-1,-1
1639,-1,-1
1640,277415,12
1641,125992,13
1642,163270,12
1643,-1,-1
1644,251580,12
1645,-1,-1
1646,242693,12
1647,-1,-1
1648,98381,13
1649,-1,-1
1650,219388,13
1651,21180,13
1652,-1,-1
1653,-1,-1
1654,-1,-1
1655,-1,-1
1656,-1,-1
1657,-1,-1
1658,-1,-1
1659,18758,13
1660,15598,13
1661,-1,-1
1662,-1,-1
1663,144506,9
1664,-1,-1
1665,-1,-1
1666,165767,12
1667,-1,-1
1668,-1,-1
1669,-1,-1
1670,-1,-1
1671,-1,-1
1672,-1,-1
1673,-1,-1
1674,88666,12
1675,-1,-1
1676,-1,-1
1677,-1,-1
1678,-1,-1
1679,7451,12
1680,147691,11
1681,-1,-1
1682,-1,-1
1683,43683,12
1684,53804,13
1685,-1,-1
1686,3877,10
1687,-1,-1
1688,-1,-1
1689,-1,-1
1690,155733,10
1691,141753,11
1692,185230,13
1693,-1,-1
1694,-1,-1
1695,-1,-1
1696,-1,-1
1697,-1,-1
1698,-1,-1
1699,-1,-1
1700,-1,-1
1701,-1,-1
1702,50603,12
1703,-1,-1
1704,13708,13
1705,131713,12
1706,-1,-1
1707,345330,12
1708,172983,14
1709,58717,12
1710,-1,-1
1711,206682,15
1712,-1,-1
1713,-1,-1
1714,-1,-1
1715,215816,12
1716,-1,-1
1717,-1,-1
1718,-1,-1
1719,19584,13
